name,height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,cbf_ranking_2024
Douglas Mendes,189.0,20.0,32.526315789473685,25.94736842105263,6.647058823529412,3.1875,0.0,1.0,1437.0,6.9105263157894745,45.31578947368421,9.263157894736842,0.32136,0.016066287,1.8461538461538465,2.933333333333333,3.4,4.705882352941177,1.0,4.0,1.8571428571428568,1.0,2.0,1.25,0.0,1.5,0.0,0.0,0.0,1.0,1.6,1.6,0.0,1.4,1.818181818181818,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14
Edson,183.0,33.0,39.0,34.208333333333336,6.476190476190476,4.333333333333333,0.05,1.0,1808.0,6.879166666666666,46.083333333333336,5.5,0.0,0.0,1.5833333333333333,1.7692307692307692,2.4347826086956523,2.523809523809524,1.0,2.526315789473684,1.8,1.3333333333333333,1.3571428571428572,1.0,0.0,1.8333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5384615384615383,1.25,1.0,1.25,1.0,0.0,1.0,0.0,1.0,21
Eduardo Sasha,173.0,32.0,17.714285714285715,12.19047619047619,1.625,1.3333333333333333,0.25,1.0,1516.0,6.971428571428572,27.571428571428573,8.904761904761905,0.21515,0.0907931489473684,4.05,2.6,6.3,4.380952380952381,1.5,1.1,1.0,1.9230769230769231,1.6,1.375,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.4285714285714286,1.25,1.4,1.3333333333333333,1.8,1.5,1.0,1.5,0.0,1.0,0.0,0.0,14
Elvis,172.0,34.0,34.5,26.73076923076923,4.8,3.5416666666666665,0.1666666666666666,1.0,1941.0,7.176923076923076,46.53846153846154,14.038461538461538,0.0,0.0,1.4444444444444444,1.0,2.6956521739130435,2.3,1.4,1.0,1.8333333333333333,1.6153846153846154,1.5263157894736843,6.28,2.136363636363636,0.0,0.0,0.0,0.0,2.0,1.5,1.1428571428571428,2.0,1.5,1.0,3.0434782608695654,1.3636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,33
Emerson Santos,180.6938775510204,30.6530612244898,26.6734693877551,21.3265306122449,4.414634146341464,2.727272727272727,0.0222222222222222,1.0,2853.0,6.721276595744681,33.142857142857146,7.068181818181818,0.0,0.0,1.6666666666666667,1.818181818181818,3.2195121951219514,3.35,1.0,1.7586206896551724,2.2,1.1666666666666667,1.7428571428571429,1.2,1.0,1.5,0.0,0.0,0.0,1.375,1.181818181818182,1.0,1.0,1.0,1.3448275862068966,1.0,1.0769230769230769,1.0,0.0,0.0,1.0,0.0,0.0,33
Erick,176.0,26.0,34.06666666666667,29.83333333333333,3.3076923076923075,2.24,0.04,1.0,2259.0,6.976666666666668,47.93333333333333,6.758620689655173,0.1457125,0.0628299721052631,2.090909090909091,2.05,4.821428571428571,4.379310344827586,1.0,2.4285714285714284,1.7083333333333333,1.5,1.8571428571428568,1.25,1.0,1.25,0.0,0.0,0.0,1.5263157894736843,1.4375,1.1538461538461535,1.3333333333333333,1.4615384615384617,1.7727272727272727,1.4,1.25,1.1428571428571428,1.0,0.0,1.0,0.0,0.0,6
Erick Farias,172.0,27.0,15.181818181818182,11.969696969696969,1.3157894736842106,1.1538461538461535,0.1,1.0,2219.0,6.787878787878788,24.33333333333333,6.40625,0.1957411764705882,0.09174069625,1.875,1.3125,3.4827586206896552,2.6875,1.3076923076923077,1.3333333333333333,1.5294117647058822,1.1538461538461535,1.4166666666666667,1.5714285714285714,1.0,1.0,0.0,0.0,0.0,1.2,1.8636363636363635,1.7142857142857142,1.0,1.0,1.25,1.3333333333333333,1.8571428571428568,1.2,1.0,0.0,1.2,0.0,0.0,18
Erick Pulga,169.0,24.0,19.48275862068965,14.79310344827586,1.65,1.375,0.074074074074074,1.1111111111111112,2558.0,7.337931034482759,40.793103448275865,13.689655172413794,0.0,0.0,1.9523809523809523,1.5,5.724137931034483,6.275862068965517,1.368421052631579,1.181818181818182,1.6363636363636365,2.7586206896551726,1.6923076923076923,3.703703703703704,1.4375,1.0,0.0,0.0,0.0,1.6666666666666667,3.740740740740741,2.4,1.0,1.7777777777777777,1.1,1.9166666666666667,1.761904761904762,1.3125,1.25,1.0,1.4285714285714286,0.0,0.0,22
Erick Pulgar,186.0,30.0,44.95238095238095,39.57142857142857,2.6666666666666665,2.3846153846153846,0.0,0.0,1553.0,6.866666666666666,55.23809523809524,7.428571428571429,0.15314,0.0275421313333333,1.6666666666666667,2.3076923076923075,4.894736842105263,4.25,1.0,2.076923076923077,2.333333333333333,1.4285714285714286,2.117647058823529,1.0,1.0,1.2,0.0,0.0,0.0,1.7692307692307692,1.2,1.0,1.0,1.0,1.8,1.625,1.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0,1
Esli García,163.0,24.0,13.74074074074074,10.592592592592592,1.8888888888888888,1.9166666666666667,0.0,1.0,1406.0,6.866666666666667,24.62962962962963,8.555555555555555,0.0,0.0,1.4285714285714286,1.0,3.6296296296296298,2.772727272727273,1.1666666666666667,1.0,1.4545454545454546,1.4705882352941178,1.3846153846153846,3.571428571428572,1.625,1.0,0.0,0.0,0.0,1.7142857142857142,2.142857142857143,1.4166666666666667,0.0,1.2222222222222223,1.6,1.4,1.8333333333333333,1.0,1.0,1.0,1.4,0.0,0.0,41
Estêvão,176.0,17.0,19.76,16.08,1.5333333333333334,1.4,0.28,1.1111111111111112,1580.0,7.263999999999999,38.48,12.291666666666666,0.3375555555555555,0.1321267004761905,1.2307692307692308,1.5,6.56,5.125,1.8666666666666667,1.0,1.3529411764705883,1.9230769230769231,1.7857142857142858,2.5,1.5,0.0,0.0,0.0,0.0,1.4666666666666666,5.16,2.869565217391304,1.1666666666666667,1.4545454545454546,1.1666666666666667,1.9411764705882355,2.2777777777777777,1.4666666666666666,1.2857142857142858,1.0,1.4,0.0,0.0,3
Everaldo,181.0,33.0,13.969696969696969,10.363636363636363,1.2857142857142858,1.125,0.0769230769230769,1.0,2150.0,6.890909090909091,24.545454545454547,8.09375,0.242348,0.0507984495652173,1.565217391304348,2.333333333333333,4.40625,4.161290322580645,1.7142857142857142,1.25,1.5333333333333334,1.8,1.5789473684210529,1.7272727272727273,1.2857142857142858,1.0,0.0,0.0,0.0,1.3333333333333333,1.809523809523809,1.25,1.125,1.2,1.0,1.2222222222222223,1.6363636363636365,1.1666666666666667,1.0,0.0,1.0,0.0,0.0,11
Everton Morelli,185.0,26.0,27.53846153846154,21.76923076923077,3.217391304347826,2.4166666666666665,0.0,1.0,1625.0,6.934615384615385,37.11538461538461,8.75,0.0,0.0,1.8235294117647056,1.3888888888888888,3.9130434782608696,4.48,1.4,1.0909090909090908,2.4761904761904763,1.7777777777777777,2.0588235294117645,1.5714285714285714,1.6666666666666667,1.0,0.0,0.0,0.0,1.0,1.125,1.0,0.0,1.5,1.5714285714285714,1.0909090909090908,1.3,1.0,1.0,1.0,1.0,0.0,0.0,24
Everton Ribeiro,174.0,35.0,51.52941176470589,44.05882352941177,3.6666666666666665,2.7142857142857144,0.2142857142857142,1.0,2482.0,7.158823529411765,65.41176470588235,12.647058823529411,0.0725588235294117,0.1373798271428571,1.5384615384615383,1.3,5.212121212121212,4.424242424242424,1.0,1.3333333333333333,2.0384615384615383,2.034482758620689,1.5217391304347827,1.9047619047619049,1.2222222222222223,1.0,0.0,0.0,0.0,1.8571428571428568,2.1481481481481484,1.4375,1.0,1.25,1.5454545454545454,2.083333333333333,2.0,1.1666666666666667,1.1111111111111112,0.0,1.0,0.0,0.0,11
Ezequiel,179.0,31.0,28.952380952380956,24.23809523809524,3.684210526315789,1.7333333333333334,0.0,0.0,1609.0,6.895238095238096,49.71428571428572,12.142857142857142,0.0,0.0,1.5555555555555556,1.5833333333333333,3.111111111111111,3.5,1.0,3.0,1.9166666666666667,1.5384615384615383,1.7142857142857142,5.35,1.6666666666666667,1.0,0.0,0.0,0.0,2.25,1.0,1.0,0.0,0.0,1.0,1.7692307692307692,1.5,1.0,0.0,0.0,1.0,0.0,0.0,49
Fabiano,180.0,34.0,38.5,30.464285714285715,4.642857142857143,2.0,0.0,0.0,2406.0,6.807142857142857,56.92857142857143,12.5,0.0,0.0,1.8421052631578947,2.1818181818181817,3.36,3.571428571428572,1.0,3.52,1.55,1.3076923076923077,1.5384615384615383,1.6666666666666667,1.0,1.8333333333333333,0.0,0.0,0.0,1.2,1.3636363636363635,1.0,0.0,1.1,1.9166666666666667,1.0,1.2,1.25,0.0,0.0,1.0,0.0,0.0,49
Fabinho,181.0,24.0,19.258064516129032,15.258064516129032,1.807692307692308,1.6842105263157894,0.1153846153846153,1.0,1848.0,7.006451612903225,28.387096774193548,8.066666666666666,0.0,0.0,1.5,1.2727272727272727,3.1379310344827585,2.8846153846153846,1.4,1.0,1.0666666666666669,1.6666666666666667,1.3,1.4375,1.0,2.0,0.0,0.0,0.0,1.0,1.96,1.4705882352941178,1.0,1.375,1.6666666666666667,1.380952380952381,1.4615384615384617,1.1666666666666667,1.0,0.0,1.6666666666666667,0.0,0.0,13
Fabricio Domínguez,177.0,26.0,24.464285714285715,18.714285714285715,3.0,2.0,0.0833333333333333,1.1666666666666667,2288.0,7.117857142857143,39.785714285714285,10.5,0.0,0.0,1.3,1.7142857142857142,5.75,5.037037037037037,1.0833333333333333,1.1666666666666667,2.08,2.0,2.0416666666666665,1.7777777777777777,1.5,1.5,0.0,0.0,0.0,2.0588235294117645,2.1818181818181817,1.5,0.0,1.3636363636363635,2.0,1.5263157894736843,1.8571428571428568,1.3333333333333333,1.0,0.0,1.0,0.0,1.0,25
Fabrício Bruno,192.0,28.0,58.18518518518518,53.14814814814815,6.615384615384615,4.16,0.0,1.0,2307.0,7.074074074074074,66.85185185185185,5.769230769230769,0.06715,0.0420174638461538,1.6666666666666667,1.947368421052632,2.0,3.2,1.0,4.0,1.6666666666666667,1.1,1.0,1.25,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.4545454545454546,1.1666666666666667,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1
Falcão,183.0,26.0,36.03225806451613,30.193548387096776,4.142857142857143,2.6538461538461537,0.0357142857142857,0.0,2271.0,6.861290322580645,45.83870967741935,7.133333333333334,0.0,0.0,1.5294117647058822,2.066666666666667,4.096774193548387,4.931034482758621,1.0,1.681818181818182,2.333333333333333,2.35,2.0,1.0,1.0,1.2,0.0,0.0,0.0,1.7058823529411764,1.0,1.0,0.0,1.0,1.4444444444444444,1.1666666666666667,1.181818181818182,1.0,1.0,0.0,1.0,0.0,0.0,27
Felipe,184.0,30.0,52.32142857142857,46.17857142857143,6.928571428571429,4.964285714285714,0.0416666666666666,0.0,2374.0,7.05,62.46428571428572,8.0,0.0,0.0,1.2727272727272727,1.4736842105263157,2.7142857142857144,4.178571428571429,1.0,2.15,1.8333333333333333,1.8,1.7272727272727273,1.5714285714285714,1.3333333333333333,1.0,0.0,0.0,0.0,1.1666666666666667,1.2142857142857142,1.0,0.0,1.2222222222222223,1.4666666666666666,1.5,1.0,1.4,1.0,0.0,0.0,0.0,1.0,25
Fellipe Mateus,178.0,33.0,23.875,19.875,1.95,1.6875,0.0,1.5,1507.0,7.004166666666666,37.833333333333336,8.416666666666666,0.0989125,0.052749519,1.6,1.8125,4.909090909090909,5.636363636363637,1.2727272727272727,1.2222222222222223,1.9285714285714288,2.5,1.5333333333333334,2.142857142857143,1.5,1.0,0.0,0.0,0.0,1.5833333333333333,2.533333333333333,1.7692307692307692,2.0,1.1,1.3,1.3846153846153846,1.8125,1.0,1.0,0.0,2.0,0.0,1.0,26
Fernandinho,179.0,39.0,46.05,38.15,6.684210526315789,3.736842105263158,0.1764705882352941,1.0,1529.0,7.279999999999999,59.6,12.6,0.1592555555555555,0.1514953647058823,1.4545454545454546,1.9166666666666667,4.3,4.4,1.2,2.083333333333333,1.8666666666666667,1.6,1.8421052631578947,3.6,1.625,1.0,0.0,0.0,0.0,1.6666666666666667,1.6428571428571428,1.625,1.0,1.1666666666666667,1.625,2.235294117647059,1.4166666666666667,1.0,1.0,0.0,1.0,0.0,0.0,6
