name,team_name,score_normalizado,valor_mercado_mais_recente(R$),goals,expectedGoals,onTargetScoringAttempt,bigChanceCreated,expectedAssists,goalAssist,keyPass,accuratePass,rating,penaltyWon,wasFouled,duelWon,aerialWon,accurateCross,accurateLongBalls,blockedScoringAttempt,height,age,possessionLostCtrl,dispossessed,bigChanceMissed,duelLost,fouls,challengeLost,totalOffside,saves,savedShotsFromInsideTheBox,goodHighClaim,goalsPrevented,penaltyConceded,campeonato,position,country,totalPass,totalLongBalls,minutesPlayed,touches,aerialLost,totalClearance,totalTackle,totalCross,outfielderBlock,totalContest,wonContest,shotOffTarget,interceptionWon,score_total
Federico Girotti,Talleres,51.180443311137395,"R$ 15.975.000,00",1.0,0.23931428571428567,1.5,0.0,0.031546816666666665,0.0,2.0,9.75,6.8875,0.0,1.0,4.166666666666667,4.0,1.0,1.25,1.0,189.0,25.0,9.25,1.1428571428571428,1.0,4.375,1.6666666666666667,1.6666666666666667,0.0,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Mastriani,Athletico,44.42388797612628,"R$ 12.780.000,00",1.6666666666666667,0.0,1.6,1.0,0.0,0.0,1.0,7.5,7.025,0.0,1.0,3.6666666666666665,2.6666666666666665,0.0,0.0,0.0,180.0,31.0,7.0,1.3333333333333333,1.0,5.125,1.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Enrique Triverio,The Strongest,44.081926583583616,"R$ 2.236.500,00",1.0,0.5860666666666666,1.5,0.0,0.07346950333333334,0.0,1.25,14.571428571428571,7.071428571428571,0.0,3.0,5.714285714285714,2.6,1.0,0.0,1.5,184.0,35.0,12.857142857142858,1.0,1.0,6.714285714285714,1.4,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,
Martín Prost,Nacional Potosí,43.60572832653742,"R$ 958.500,00",1.0,0.0,1.0,1.0,0.0,1.0,2.0,13.833333333333334,6.866666666666667,0.0,2.25,2.5,1.0,0.0,1.0,1.5,175.0,36.0,5.333333333333333,1.5,1.5,2.0,1.0,1.0,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,
Luciano Rodríguez,Liverpool UY,39.21172485918186,"R$ 51.120.000,00",1.0,0.19908,1.25,0.0,0.028059075000000003,0.0,2.0,11.8,6.82,0.0,3.6,7.6,2.0,0.0,1.0,1.0,179.0,21.0,18.0,2.8,0.0,10.8,2.8,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Germán Cano,Fluminense,38.354286194786205,"R$ 8.946.000,00",1.0,0.31779999999999997,2.0,0.0,0.1137714,0.2,1.3333333333333333,8.125,6.8125,0.0,1.6,1.6666666666666667,1.0,0.0,1.4,1.0,176.0,36.0,3.5,1.0,2.0,3.6,2.0,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
Maximiliano Rodríguez,Huachipato,35.7133236323652,"R$ 7.668.000,00",1.0,0.23138333333333336,1.1666666666666667,0.0,0.05168262333333334,0.0,1.5,9.7,6.709999999999999,0.0,2.6666666666666665,4.7,2.2,0.0,1.0,1.3333333333333333,185.0,24.0,10.0,2.2,1.0,7.7,1.8333333333333333,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,
Edison Flores,Universitario,35.61937994375329,"R$ 7.668.000,00",1.0,0.19099999999999998,1.3333333333333333,0.0,0.03627168,0.0,1.2,14.333333333333334,6.95,0.0,1.25,2.8333333333333335,1.3333333333333333,1.3333333333333333,1.25,1.25,170.0,30.0,8.166666666666666,1.0,1.0,4.666666666666667,1.6,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,
Michael Estrada,LDU,33.392315838988615,"R$ 7.668.000,00",1.0,0.23463333333333333,1.5,0.0,0.08252403333333333,0.0,1.75,11.833333333333334,6.766666666666667,0.0,2.2,6.333333333333333,2.3333333333333335,0.0,2.0,1.0,188.0,28.0,13.166666666666666,3.0,1.0,7.833333333333333,1.75,0.0,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
Alexis Cuello,San Lorenzo,31.88009134046901,"R$ 12.780.000,00",1.0,0.3002,1.25,0.0,0.03366992,0.2,1.0,9.8,7.06,0.0,2.0,5.8,2.2,1.0,1.0,2.0,171.0,24.0,16.6,3.0,1.0,9.833333333333334,2.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Pablo Erustes,Deportivo Garcilaso,21.092872671032563,"R$ 2.236.500,00",1.0,0.0,1.25,0.0,0.0,0.0,1.0,12.0,7.0,0.0,1.25,3.4,1.5,0.0,1.3333333333333333,1.0,175.0,30.0,9.166666666666666,1.5,2.0,4.833333333333333,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bryan Carrasco,Palestino,20.987877405903895,"R$ 3.514.500,00",0.0,0.0312,1.0,1.3333333333333333,0.153192425,0.0,2.75,8.125,6.7625,0.0,1.0,1.2857142857142858,1.0,2.2,2.0,1.0,170.0,33.0,10.375,1.5,0.0,2.875,1.4,1.0,1.25,,,,,,,,,,,,,,,,,,,,,,
Juan Iturbe,Cerro Porteño,20.851441923576704,"R$ 5.112.000,00",1.0,0.0359,1.0,0.0,0.026677893999999997,0.0,1.0,11.285714285714286,6.757142857142857,0.0,1.5,4.428571428571429,1.3333333333333333,1.0,2.0,1.0,170.0,31.0,10.142857142857142,1.4,0.0,5.571428571428571,1.0,2.3333333333333335,1.0,,,,,,,,,,,,,,,,,,,,,,
Eduardo Sasha,Red Bull Bragantino,20.32481366501458,"R$ 11.502.000,00",1.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.0,10.714285714285714,6.8,0.0,2.6,4.5,2.3333333333333335,0.0,1.5,1.0,173.0,32.0,8.428571428571429,2.0,1.0,4.428571428571429,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
