campeonato,team_name,name,position,country,valor_mercado_mais_recente(R$),height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,score_total,score_normalizado
"Copa Sudamericana, Group H",Racing Club,Gabriel Rojas,D,Argentina,"R$ 17.253.000,00",178.0,27.0,31.857142857142858,25.285714285714285,4.0,1.6,0.0,0.0,589.0,7.057142857142857,53.857142857142854,14.571428571428571,0.0,0.0,1.6666666666666667,1.25,3.142857142857143,4.142857142857143,1.0,2.3333333333333335,2.3333333333333335,1.25,1.0,5.857142857142857,2.25,1.0,0.0,0.0,0.0,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,1.25,1.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.20209475858335219,39.32520207721983
"Copa Libertadores, Group B",Talleres,Gastón Benavídez,D,Argentina,"R$ 19.170.000,00",175.0,28.0,26.857142857142858,21.428571428571427,3.0,1.25,0.0,0.0,630.0,6.971428571428571,52.57142857142857,10.142857142857142,0.0423,0.03156357571428571,1.3333333333333333,1.0,3.142857142857143,4.714285714285714,0.0,2.4,3.0,1.1428571428571428,1.5,2.5,2.0,1.5,0.0,0.0,0.0,2.0,1.6666666666666667,1.0,0.0,1.0,2.2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11774804603978425,44.6498800306163
"Copa Libertadores, Group F",San Lorenzo,Gastón Campi,D,Argentina,"R$ 1.597.500,00",192.0,33.0,32.5,24.0,6.875,2.2857142857142856,0.0,1.0,720.0,7.0375,42.75,9.25,0.0324,0.05376683166666666,1.0,3.857142857142857,1.5714285714285714,5.428571428571429,1.0,4.625,1.8,1.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2738097219474295,69.36831838831421
"Copa Libertadores, Group F",San Lorenzo,Gonzalo Luján,D,Argentina,"R$ 19.170.000,00",182.0,23.0,25.142857142857142,16.571428571428573,7.857142857142857,3.0,0.0,0.0,471.0,6.6000000000000005,35.42857142857143,11.571428571428571,0.13369999999999999,0.00900651,1.0,1.25,2.25,1.8571428571428572,0.0,4.0,2.0,1.0,1.0,2.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27687867664318955,34.60420859977824
"Copa Libertadores, Group G",Atlético Mineiro,Guilherme Arana,D,Brazil,"R$ 76.680.000,00",176.0,27.0,55.1,48.5,3.0,1.5555555555555556,0.2857142857142857,1.0,886.0,7.31,76.8,11.9,0.06259999999999999,0.130466413,1.1666666666666667,2.1666666666666665,2.6666666666666665,3.5,1.0,2.375,1.8333333333333333,1.75,1.6666666666666667,4.0,2.2,2.0,0.0,0.0,0.0,1.0,1.1666666666666667,1.0,1.0,2.0,1.0,1.8571428571428572,1.5,2.0,1.0,0.0,1.0,0.0,0.0,0.13687803771041368,60.72403222479988
"Copa Libertadores, Group E",Flamengo,Guillermo Varela,D,Uruguay,"R$ 10.863.000,00",171.0,31.0,26.444444444444443,22.555555555555557,2.3333333333333335,1.1428571428571428,0.0,0.0,642.0,6.855555555555556,42.333333333333336,8.555555555555555,0.03165,0.097680454,1.5,2.2,2.6666666666666665,3.857142857142857,0.0,1.6666666666666667,1.3333333333333333,1.5,1.3333333333333333,3.2857142857142856,2.0,1.0,0.0,0.0,0.0,1.4,1.2857142857142858,1.0,0.0,0.0,1.4,1.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4461953735604094,23.91550650304449
"Copa Libertadores, Group F",Palmeiras,Gustavo Gómez,D,Paraguay,"R$ 44.730.000,00",185.0,31.0,39.625,32.375,5.75,3.7142857142857144,0.0,1.0,711.0,7.1375,52.125,7.375,0.4977,0.10898284,3.142857142857143,7.125,4.428571428571429,9.125,1.0,4.875,1.3333333333333333,1.5,1.1428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,1.5714285714285714,1.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.404113393345041,77.59418831749606
"Copa Libertadores, Group G",Peñarol,Guzmán Rodríguez,D,Uruguay,"R$ 12.780.000,00",185.0,24.0,29.0,22.444444444444443,6.333333333333333,2.25,0.0,1.0,810.0,7.088888888888889,42.111111111111114,7.444444444444445,0.06705,0.0070337,1.5,2.3333333333333335,2.857142857142857,4.444444444444445,1.0,5.333333333333333,2.1666666666666665,1.25,1.5,0.0,0.0,1.4,0.0,0.0,0.0,1.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17971531173398303,63.42828330582552
"Copa Sudamericana, Group E",Rayo Zuliano,Hermes Rodríguez,D,Venezuela,"R$ 1.757.250,00",180.0,25.0,35.0,26.666666666666668,7.166666666666667,2.6,0.0,0.0,540.0,6.616666666666667,50.0,8.666666666666666,0.0,0.0,3.6,3.6666666666666665,3.5,5.166666666666667,0.0,8.666666666666666,1.6666666666666667,1.0,1.0,1.0,0.0,2.3333333333333335,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5060142339534067,84.02703131821963
"Copa Libertadores, Group D",Botafogo,Hugo,D,Brazil,"R$ 25.560.000,00",175.0,23.0,28.857142857142858,23.0,3.4285714285714284,1.6666666666666667,0.0,1.0,546.0,7.071428571428571,51.142857142857146,11.857142857142858,0.12323333333333335,0.06120342000000001,1.5,1.4,2.857142857142857,4.857142857142857,1.5,2.0,2.2857142857142856,1.75,1.5,3.3333333333333335,1.6666666666666667,0.0,0.0,0.0,0.0,1.25,1.2,1.3333333333333333,0.0,0.0,2.0,1.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.04806788488786216,49.048681201238175
"Copa Sudamericana, Group F",Corinthians,Hugo,D,Brazil,"R$ 25.560.000,00",179.0,27.0,41.25,34.375,3.0,1.8333333333333333,0.2,0.0,675.0,7.1125,62.25,10.375,0.0,0.0,1.8333333333333333,2.5,4.25,6.142857142857143,0.0,3.5714285714285716,4.0,1.6,1.8571428571428572,1.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,1.0,2.0,2.75,1.0,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.23040812255728418,66.62844231673073
"Copa Libertadores, Group B",São Paulo,Igor Vinícius,D,Brazil,"R$ 15.975.000,00",173.0,27.0,48.285714285714285,43.57142857142857,3.8333333333333335,2.8,0.3333333333333333,0.0,508.0,7.114285714285714,69.57142857142857,9.714285714285714,0.1217,0.08480529142857142,1.75,1.75,4.714285714285714,5.428571428571429,0.0,2.2,2.8333333333333335,1.2,1.0,3.6666666666666665,2.0,1.0,0.0,0.0,0.0,3.3333333333333335,2.0,1.3333333333333333,0.0,1.0,1.25,1.6666666666666667,1.2,0.0,0.0,0.0,1.0,0.0,0.0,-0.15421660411289834,42.3476761709962
"Copa Libertadores, Group H",Libertad,Iván Ramírez,D,Paraguay,"R$ 7.668.000,00",180.0,29.0,39.714285714285715,30.142857142857142,5.714285714285714,2.857142857142857,0.3333333333333333,0.0,608.0,7.114285714285714,73.71428571428571,20.714285714285715,0.0467,0.14684534999999999,1.0,1.0,4.571428571428571,5.833333333333333,1.0,2.4,3.2,2.0,1.25,9.857142857142858,3.5,1.0,0.0,0.0,0.0,1.7142857142857142,3.0,2.0,0.0,1.0,1.8,3.5,1.2,1.0,3.0,0.0,0.0,0.0,0.0,0.1636993473466255,62.417220160576136
"Copa Libertadores, Group E",Palestino,Iván Román,D,Chile,"R$ 9.585.000,00",184.0,18.0,22.571428571428573,14.0,8.0,3.5,0.0,1.0,518.0,6.371428571428572,32.0,10.285714285714286,0.0,0.013776189999999999,1.75,1.5,2.857142857142857,3.1666666666666665,1.0,3.6666666666666665,1.8333333333333333,1.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,1.1666666666666667,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.18676295350786032,40.293075299653665
"Copa Libertadores, Group G",Peñarol,Javier Méndez,D,Uruguay,"R$ 3.834.000,00",184.0,29.0,26.75,19.75,5.75,3.0,0.0,1.0,679.0,6.9375,38.75,8.5,0.0897,0.00532067,1.4285714285714286,2.6666666666666665,3.0,4.25,1.0,4.5,2.5714285714285716,0.0,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02264539785048486,53.51270174518859
"Copa Libertadores, Group D",Junior Barranquilla,Jermein Peña,D,Colombia,"R$ 5.431.500,00",185.0,24.0,37.142857142857146,30.857142857142858,8.0,3.5714285714285716,0.0,0.0,562.0,7.071428571428571,52.0,7.142857142857143,0.0626,0.01097776,2.6666666666666665,3.25,4.0,4.571428571428571,0.0,5.0,2.1666666666666665,2.5,1.25,1.0,0.0,1.75,0.0,0.0,0.0,1.3333333333333333,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6726213822574094,94.5446837874175
"Copa Libertadores, Group E",Bolívar,Jesús Sagredo,D,Bolivia,"R$ 2.556.000,00",180.0,30.0,40.42857142857143,33.285714285714285,6.285714285714286,2.5714285714285716,0.0,0.0,543.0,6.528571428571429,50.57142857142857,9.0,0.016050000000000002,0.0966143,2.0,1.0,3.0,1.8571428571428572,0.0,2.8333333333333335,1.6,0.0,2.0,1.5,0.0,2.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6974744208830415,8.052647559512145
"Copa Libertadores, Group F",Palmeiras,Joaquín Piquerez,D,Uruguay,"R$ 83.070.000,00",183.0,26.0,33.666666666666664,26.5,7.666666666666667,3.6666666666666665,0.0,1.0,482.0,7.1000000000000005,58.166666666666664,12.666666666666666,0.049166666666666664,0.04327408333333333,1.5,1.3333333333333333,3.0,3.3333333333333335,1.0,2.4,2.4,1.3333333333333333,1.0,3.1666666666666665,2.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,0.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,-0.23821505229670123,37.044983609827504
"Copa Sudamericana, Group A",Universidad César Vallejo,Johan Madrid,D,Peru,"R$ 1.917.000,00",179.0,27.0,32.833333333333336,25.333333333333332,5.6,2.4,0.0,0.0,473.0,6.583333333333333,53.5,11.5,0.0,0.0,1.3333333333333333,1.0,3.3333333333333335,4.0,0.0,3.0,2.5,1.6666666666666667,1.0,2.8,1.3333333333333333,2.0,0.0,0.0,0.0,1.5,2.0,1.5,0.0,1.5,1.25,1.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.15739099594682784,42.14728170743207
"Copa Sudamericana, Group C",Delfín,Josué Cuero,D,Ecuador,"R$ 1.597.500,00",176.0,23.0,20.333333333333332,15.5,2.75,1.5,0.0,0.0,460.0,6.8999999999999995,44.0,12.333333333333334,0.0,0.0,2.0,1.75,3.1666666666666665,5.833333333333333,0.0,3.2,2.8,1.6,1.5,2.8333333333333335,1.5,1.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,1.0,1.0,1.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0057328857938410945,51.72122444015287
